date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:38:02	5310/5310	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:W/%225977a2f2-247c%22	http://srcreigh.github.io/robots.txt		(from )
00:38:03	5493/5493	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202017%2018:51:19%20GMT	http://srcreigh.github.io/blog/	srcreigh.github.io/blog/index.html	(from )
00:38:03	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2026%20Dec%202017%2005:38:03%20GMT	http://srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one	srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one	(from http://srcreigh.github.io/blog/)
00:38:04	25993/25993	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202017%2018:51:19%20GMT	http://srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one/	srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one/index.html	(from http://srcreigh.github.io/blog/)
00:38:04	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2026%20Dec%202017%2005:38:04%20GMT	http://srcreigh.github.io/blog/posts/modular-uiviewcontroller-features	srcreigh.github.io/blog/posts/modular-uiviewcontroller-features	(from http://srcreigh.github.io/blog/)
00:38:05	21419/21419	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202017%2018:51:19%20GMT	http://srcreigh.github.io/blog/posts/modular-uiviewcontroller-features/	srcreigh.github.io/blog/posts/modular-uiviewcontroller-features/index.html	(from http://srcreigh.github.io/blog/)
00:38:05	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2026%20Dec%202017%2005:38:05%20GMT	http://srcreigh.github.io/blog/posts/8tracks-meet-mpd-mpd-meet-8tracks	srcreigh.github.io/blog/posts/8tracks-meet-mpd-mpd-meet-8tracks	(from http://srcreigh.github.io/blog/)
00:38:06	4050/4050	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202017%2018:51:19%20GMT	http://srcreigh.github.io/blog/posts/8tracks-meet-mpd-mpd-meet-8tracks/	srcreigh.github.io/blog/posts/8tracks-meet-mpd-mpd-meet-8tracks/index.html	(from http://srcreigh.github.io/blog/)
00:38:06	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2026%20Dec%202017%2005:38:06%20GMT	http://srcreigh.github.io/blog/posts/bitbucket-my-love	srcreigh.github.io/blog/posts/bitbucket-my-love	(from http://srcreigh.github.io/blog/)
00:38:07	4178/4178	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202017%2018:51:19%20GMT	http://srcreigh.github.io/blog/posts/bitbucket-my-love/	srcreigh.github.io/blog/posts/bitbucket-my-love/index.html	(from http://srcreigh.github.io/blog/)
00:38:07	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2026%20Dec%202017%2005:38:07%20GMT	http://srcreigh.github.io/blog/posts/write-a-function-coop-coop-copo-cpoo-ocop	srcreigh.github.io/blog/posts/write-a-function-coop-coop-copo-cpoo-ocop	(from http://srcreigh.github.io/blog/)
00:38:08	6030/6030	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202017%2018:51:19%20GMT	http://srcreigh.github.io/blog/posts/write-a-function-coop-coop-copo-cpoo-ocop/	srcreigh.github.io/blog/posts/write-a-function-coop-coop-copo-cpoo-ocop/index.html	(from http://srcreigh.github.io/blog/)
00:38:08	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2026%20Dec%202017%2005:38:08%20GMT	http://srcreigh.github.io/blog/posts/setting-up-xmobar-on-xmonad	srcreigh.github.io/blog/posts/setting-up-xmobar-on-xmonad	(from http://srcreigh.github.io/blog/)
00:38:09	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22595d293a-247c%22	http://srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one/www.linuxmint.com	srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one/www.linuxmint.com	(from http://srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one/)
00:38:09	6769/6769	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Sep%202017%2018:51:19%20GMT	http://srcreigh.github.io/blog/posts/setting-up-xmobar-on-xmonad/	srcreigh.github.io/blog/posts/setting-up-xmobar-on-xmonad/index.html	(from http://srcreigh.github.io/blog/)
00:38:10	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22595d293a-247c%22	http://srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one/fedoraproject.org	srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one/fedoraproject.org	(from http://srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one/)
00:38:11	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225977a2f2-247c%22	http://srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one/www.ubuntu.com/	srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one/www.ubuntu.com/index.html	(from http://srcreigh.github.io/blog/posts/preparing-for-uw-coop-part-one/)
